product_id,colours,sizes
1,,
2,,
3,,
4,"['Black', 'White']","['23,000 BTU', '23,500 BTU']"
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,"['Black', 'Grey', 'White', 'Beige', 'Red', 'Pink', 'Orange', 'Ivory', 'Green', 'Blue', 'Gold', 'Silver', 'Multi', 'Stainless Steel']","['R-134A', 'R-290', 'R-32', 'R-410A', 'R-600A']"
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,"['Blue', 'Gray', 'White', 'White.', 'Taupe']","['Left Curve', 'Right Curve']"
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,"['1 Pair 10km', '1 Pair 20km', '2 Pairs 20km', '2 Pairs 10km']",
52,,
53,,
54,,
55,,"['27""W 23 Cu.ft Single Door', '48""W Refrigerator and Freezer Combo', '48""W 36 Cu.ft Double door', '72""W Refrigerator and Freezer Combo', '72""W 54 Cu.ft Three door', '82""W 72 Cu.ft Three door', '54""W 49 Cu.ft Double door']"
56,,
57,,
58,,
59,,
60,"['55 Inch', '75 Inch', '86 Inch', '98 Inch', '65 Inch']",
61,"['Black', 'Bronze', 'Gray', 'Green', 'Sandstone', 'White']",
62,,
63,,
64,,
65,,
66,,
67,,
68,"['Black', 'Maple', 'White']",
69,,"['20L', '22L', '28L', '30L', '50L', '58L-S', '58L', '80L', '108L', '20L-B']"
70,"['Black EB-FC1', 'Black EB-FC1+Camera', 'White EB-FC1', 'White EB-FC1+Camera']",
71,,
72,,
73,"['Black', 'Silver']",
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,"['Lumicoat Stainless', 'Matte Black', 'Lumicoat Chrome']","['4kW', '6kW', '10kW', '12kW', '15kW', '7.5kW']"
86,,
87,,"['42 inch', '48 inch', '55 inch', '77 inch', '83 inch', '65 inch']"
88,"['Black', 'White', 'Tropic Sand', 'Grey']","['High Base', '10-Drawer Flat File', 'Closed Base', '5-Drawer Flat File']"
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,"['W64"" x H80"" Left active door', 'W64"" x H80"" Right active door', 'W72"" x H80"" Right active door', 'W72"" x H80"" Left active door']"
97,,
98,,
99,,
100,,
101,,
102,,
103,"['Stainless-Steel', 'Black']","['36 in.', '50 in.', '25 in.']"
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,"['Amber', 'Clear']","['1.16 cu. ft.', '1.55 cu. ft.', '1.87 cu. ft.']"
117,,"['8‘’', '10‘’']"
118,,
119,,
120,,
121,,
122,,
123,,
124,"['Aruba', 'Black', 'Blue', 'Brown', 'Coffee', 'Red', 'White', 'Grey']","['2 Chairs', '5 Piece', '6 Piece', '5 Piece + Flower Cushion', '7 Piece + Flower Cushion', '7 Piece']"
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,"['Blue', 'Ocean']",
135,,"['1000 PSI', '1200 PSI', '1600 PSI']"
136,,
137,,
138,,
139,"['Contour Silver', 'Onyx Black', 'White', 'Empire Red']",
140,,
141,,
142,,"['12 Piece (Strata)', '14 Piece (Strata Plus)', '16 Piece (Strata Ultimate)']"
143,"['Black', 'Blue', 'Brown', 'Grey', 'Velbrown', 'Cream White']",
