variant_id,product_id,colour,size
1,4,Black,
2,4,White,
3,4,,"23,000 BTU"
4,4,,"23,500 BTU"
5,28,Black,
6,28,Grey,
7,28,White,
8,28,Beige,
9,28,Red,
10,28,Pink,
11,28,Orange,
12,28,Ivory,
13,28,Green,
14,28,Blue,
15,28,Gold,
16,28,Silver,
17,28,Multi,
18,28,Stainless Steel,
19,28,,R-134A
20,28,,R-290
21,28,,R-32
22,28,,R-410A
23,28,,R-600A
24,42,Blue,
25,42,Gray,
26,42,White,
27,42,White.,
28,42,Taupe,
29,42,,Left Curve
30,42,,Right Curve
31,51,1 Pair 10km,
32,51,1 Pair 20km,
33,51,2 Pairs 20km,
34,51,2 Pairs 10km,
35,55,,"27""W 23 Cu.ft Single Door"
36,55,,"48""W Refrigerator and Freezer Combo"
37,55,,"48""W 36 Cu.ft Double door"
38,55,,"72""W Refrigerator and Freezer Combo"
39,55,,"72""W 54 Cu.ft Three door"
40,55,,"82""W 72 Cu.ft Three door"
41,55,,"54""W 49 Cu.ft Double door"
42,60,55 Inch,
43,60,75 Inch,
44,60,86 Inch,
45,60,98 Inch,
46,60,65 Inch,
47,61,Black,
48,61,Bronze,
49,61,Gray,
50,61,Green,
51,61,Sandstone,
52,61,White,
53,68,Black,
54,68,Maple,
55,68,White,
56,69,,20L
57,69,,22L
58,69,,28L
59,69,,30L
60,69,,50L
61,69,,58L-S
62,69,,58L
63,69,,80L
64,69,,108L
65,69,,20L-B
66,70,Black EB-FC1,
67,70,Black EB-FC1+Camera,
68,70,White EB-FC1,
69,70,White EB-FC1+Camera,
70,73,Black,
71,73,Silver,
72,85,Lumicoat Stainless,
73,85,Matte Black,
74,85,Lumicoat Chrome,
75,85,,4kW
76,85,,6kW
77,85,,10kW
78,85,,12kW
79,85,,15kW
80,85,,7.5kW
81,87,,42 inch
82,87,,48 inch
83,87,,55 inch
84,87,,77 inch
85,87,,83 inch
86,87,,65 inch
87,88,Black,
88,88,White,
89,88,Tropic Sand,
90,88,Grey,
91,88,,High Base
92,88,,10-Drawer Flat File
93,88,,Closed Base
94,88,,5-Drawer Flat File
95,96,,"W64"" x H80"" Left active door"
96,96,,"W64"" x H80"" Right active door"
97,96,,"W72"" x H80"" Right active door"
98,96,,"W72"" x H80"" Left active door"
99,103,Stainless-Steel,
100,103,Black,
101,103,,36 in.
102,103,,50 in.
103,103,,25 in.
104,116,Amber,
105,116,Clear,
106,116,,1.16 cu. ft.
107,116,,1.55 cu. ft.
108,116,,1.87 cu. ft.
109,117,,8‘’
110,117,,10‘’
111,124,Aruba,
112,124,Black,
113,124,Blue,
114,124,Brown,
115,124,Coffee,
116,124,Red,
117,124,White,
118,124,Grey,
119,124,,2 Chairs
120,124,,5 Piece
121,124,,6 Piece
122,124,,5 Piece + Flower Cushion
123,124,,7 Piece + Flower Cushion
124,124,,7 Piece
125,134,Blue,
126,134,Ocean,
127,135,,1000 PSI
128,135,,1200 PSI
129,135,,1600 PSI
130,139,Contour Silver,
131,139,Onyx Black,
132,139,White,
133,139,Empire Red,
134,142,,12 Piece (Strata)
135,142,,14 Piece (Strata Plus)
136,142,,16 Piece (Strata Ultimate)
137,143,Black,
138,143,Blue,
139,143,Brown,
140,143,Grey,
141,143,Velbrown,
142,143,Cream White,
143,144,Black,
144,144,Grey,
145,144,White,
146,144,Brown,
147,144,Beige,
148,144,Red,
149,144,Pink,
150,144,Orange,
151,144,Yellow,
152,144,Ivory,
153,144,Green,
154,144,Blue,
155,144,Purple,
156,144,Gold,
157,144,Silver,
158,144,Multi,
159,144,Clear,
160,145,Black,
161,145,Honey,
162,145,Metallic Black,
163,145,Transparent Blue,
164,145,Transparent Red,
165,147,Black,
166,147,Blue,
167,147,,4 ft x 4 ft x 4 Inch
168,147,,4 ft x 8 ft x 4 Inch
169,147,,4 ft x 8 ft x 8 Inch
170,147,,4 ft x 8 ft x 12 Inch
171,149,Black,
172,149,Matte Black,
173,149,,Large
174,149,,X-Large
175,149,,XX-Large
176,149,,Sport
177,149,,Alpine
178,149,,See available options
179,150,Black,
180,150,Blue,
181,150,Grey,
182,150,Light Grey,
183,150,Beige,
184,151,,X-Small
185,151,,Small
186,151,,Medium
187,151,,Large
188,151,,X-Large
189,151,,XX-Large
190,153,Brushed Nickel,
191,153,CH,
192,153,Chrome,
193,153,Oil Rubbed Bronze,
194,153,White/Matte Black,
195,153,Matt Black,
196,153,Polished Gold,
197,154,Blue,
198,154,Grey,
199,154,,Medium Frame
200,154,,Large Frame
201,158,Black,
202,158,Grey,
203,158,White,
204,158,Beige,
205,158,Red,
206,158,Pink,
207,158,Orange,
208,158,Ivory,
209,158,Green,
210,158,Blue,
211,158,Gold,
212,158,Silver,
213,158,Multi,
214,158,Stainless Steel,
215,158,,R-134A
216,158,,R-290
217,158,,R-32
218,158,,R-410A
219,158,,R-600A
220,162,White,
221,162,Black,
222,162,,w/ 15mm
223,162,,Base
224,162,,Camera Only
225,162,,w/Streaming Microphone
226,162,,w/Wireless Microphone
227,162,,w/16-50mm
228,165,,Headset Only
229,165,,Full System
230,170,,30 Inches Wide
231,170,,60 Inches Wide
232,170,,72 Inches Wide
233,170,,36 Inches Wide
234,172,Ember,
235,172,Lava,
236,172,Pink,
237,172,Yellow,
238,172,,3 Count
239,172,,12 Count
240,172,,36 Count
241,172,,100 Count
242,172,,400 Count
243,173,,48-Inch x 60-Inch
244,173,,48 inch x 48 inch
245,178,,3x4 Feet
246,178,,5x5 Feet
247,178,,6x8 Feet
248,178,,8x8 Feet
249,179,Blue,
250,179,Space Gray,
251,182,Blue Sapphire,
252,182,Midnight Black,
253,182,Pearl Pink,
254,182,Silver Platinum,
255,182,Ruby Red,
256,192,Nickel,
257,192,Gold Laquer,
258,194,,1.7 Cubic Feet
259,194,,3.3 Cubic Feet
260,194,,10 Cubic Feet
261,194,,4.4 Cubic Feet
262,195,Cranberry,
263,195,Tangerine,
264,195,Royal Blue,
265,196,White,
266,196,Matte Black,
267,196,Bisque,
268,196,,48 x 32 Left Hand Drain
269,196,,48 x 32 Right Hand Drain
270,196,,54 x 30 Left Hand Drain
271,196,,54 x 30 Right Hand Drain
272,196,,60 x 30 Left Hand Drain
273,196,,60 x 30 Right Hand Drain
274,196,,60 x 32 Right Hand Drain
275,196,,72 x 36 Left Hand Drain
276,196,,72 x 36 Right Hand Drain
277,196,,60 x 32 Left Hand Drain
278,202,,DS220+
279,202,,DS224+
280,202,,DS423+
281,202,,DS723+
282,202,,DS1522+
283,202,,DS923+
284,203,,15.5
285,203,,17
286,203,,19
287,204,PE,
288,204,Upgrade-PE,
289,205,1 pcs Medium Filter,
290,205,3 pcs Pre-Filters,
291,205,Solder Fume Extractor,
292,207,Rustic Oak (2),
293,210,,"16GB Unified Memory, 512GB SSD Storage"
294,210,,"24GB Unified Memory, 512GB SSD Storage"
295,210,,"16GB Unified Memory, 256GB SSD Storage"
296,218,Ciclamyn Pink,
297,218,Cobalt Blue,
298,218,Fireflow,
299,218,,22
300,218,,24
301,218,,26
302,218,,28
303,218,,30
304,218,,32
305,218,,34
306,222,Silver,
307,222,Gold,
308,229,,2 Burners
309,229,,6 Burners
310,229,,1 Burner
311,229,,4 Burners
312,232,Apple,
313,232,Aruba,
314,232,Baby Blue,
315,232,Brown,
316,232,Coffee,
317,232,Green,
318,232,Grey,
