variant_id,product_id,colour_cleaned
1,4,Black
2,4,White
3,4,
4,4,
5,28,Black
6,28,Grey
7,28,White
8,28,
9,28,Red
10,28,
11,28,Orange
12,28,
13,28,Green
14,28,Blue
15,28,Gold
16,28,Silver
17,28,
18,28,
19,28,
20,28,
21,28,
22,28,
23,28,
24,42,Blue
25,42,
26,42,White
27,42,White
28,42,
29,42,
30,42,
31,51,
32,51,
33,51,
34,51,
35,55,
36,55,
37,55,
38,55,
39,55,
40,55,
41,55,
42,60,
43,60,
44,60,
45,60,
46,60,
47,61,Black
48,61,Bronze
49,61,
50,61,Green
51,61,
52,61,White
53,68,Black
54,68,
55,68,White
56,69,
57,69,
58,69,
59,69,
60,69,
61,69,
62,69,
63,69,
64,69,
65,69,
66,70,Black
67,70,Black
68,70,White
69,70,White
70,73,Black
71,73,Silver
72,85,
73,85,Black
74,85,
75,85,
76,85,
77,85,
78,85,
79,85,
80,85,
81,87,
82,87,
83,87,
84,87,
85,87,
86,87,
87,88,Black
88,88,White
89,88,
90,88,Grey
91,88,
92,88,
93,88,
94,88,
95,96,
96,96,
97,96,
98,96,
99,103,
100,103,Black
101,103,
102,103,
103,103,
104,116,
105,116,
106,116,
107,116,
108,116,
109,117,
110,117,
111,124,
112,124,Black
113,124,Blue
114,124,Brown
115,124,
116,124,Red
117,124,White
118,124,Grey
119,124,
120,124,
121,124,
122,124,
123,124,
124,124,
125,134,Blue
126,134,
127,135,
128,135,
129,135,
130,139,Silver
131,139,Black
132,139,White
133,139,Red
134,142,
135,142,
136,142,
137,143,Black
138,143,Blue
139,143,Brown
140,143,Grey
141,143,Brown
142,143,White
143,144,Black
144,144,Grey
145,144,White
146,144,Brown
147,144,
148,144,Red
149,144,
150,144,Orange
151,144,Yellow
152,144,
153,144,Green
154,144,Blue
155,144,
156,144,Gold
157,144,Silver
158,144,
159,144,
160,145,Black
161,145,
162,145,Black
163,145,Blue
164,145,Red
165,147,Black
166,147,Blue
167,147,
168,147,
169,147,
170,147,
171,149,Black
172,149,Black
173,149,
174,149,
175,149,
176,149,
177,149,
178,149,
179,150,Black
180,150,Blue
181,150,Grey
182,150,Grey
183,150,
184,151,
185,151,
186,151,
187,151,
188,151,
189,151,
190,153,
191,153,
192,153,
193,153,Bronze
194,153,Black
195,153,Black
196,153,Gold
197,154,Blue
198,154,Grey
199,154,
200,154,
201,158,Black
202,158,Grey
203,158,White
204,158,
205,158,Red
206,158,
207,158,Orange
208,158,
209,158,Green
210,158,Blue
211,158,Gold
212,158,Silver
213,158,
214,158,
215,158,
216,158,
217,158,
218,158,
219,158,
220,162,White
221,162,Black
222,162,
223,162,
224,162,
225,162,
226,162,
227,162,
228,165,
229,165,
230,170,
231,170,
232,170,
233,170,
234,172,
235,172,
236,172,
237,172,Yellow
238,172,
239,172,
240,172,
241,172,
242,172,
243,173,
244,173,
245,178,
246,178,
247,178,
248,178,
249,179,Blue
250,179,
251,182,Blue
252,182,Black
253,182,
254,182,Silver
255,182,Red
256,192,
257,192,Gold
258,194,
259,194,
260,194,
261,194,
262,195,
263,195,
264,195,Blue
265,196,White
266,196,Black
267,196,
268,196,
269,196,
270,196,
271,196,
272,196,
273,196,
274,196,
275,196,
276,196,
277,196,
278,202,
279,202,
280,202,
281,202,
282,202,
283,202,
284,203,
285,203,
286,203,
287,204,
288,204,
289,205,
290,205,
291,205,
292,207,
293,210,
294,210,
295,210,
296,218,
297,218,Blue
298,218,
299,218,
300,218,
301,218,
302,218,
303,218,
304,218,
305,218,
306,222,Silver
307,222,Gold
308,229,
309,229,
310,229,
311,229,
312,232,
313,232,
314,232,Blue
315,232,Brown
316,232,
317,232,Green
318,232,Grey
319,232,Green
320,232,
321,232,Orange
322,232,Red
323,232,White
324,232,Yellow
325,232,
326,232,Grey
327,232,Red
328,232,Black
329,232,
330,232,Black
331,232,
332,232,
333,232,
334,232,
335,232,
336,232,
337,233,
338,233,Black
339,233,
340,234,Black
341,234,Blue
342,234,Red
343,234,Blue
344,234,Red
345,234,Black
346,234,Blue
347,234,Black
348,235,
349,235,
350,235,
351,235,
352,240,
353,240,
354,241,
355,241,
356,241,
357,242,
358,242,
359,242,
360,242,
361,242,
362,242,
363,242,
364,244,
365,244,
366,244,
367,244,
368,244,
369,245,
370,245,
371,245,
372,248,Blue
373,248,Red
374,248,Red
375,248,
376,253,Black
377,253,Brown
378,253,Grey
379,253,Red
380,253,White
381,253,Blue
382,253,
383,253,
384,253,
385,253,
386,256,
387,256,
388,256,
389,257,
390,257,
391,258,White
392,258,Black
393,258,
394,258,
395,258,
396,258,
397,258,
398,258,
399,258,
400,258,
401,259,
402,259,
403,259,
404,262,
405,262,
406,266,Red
407,266,Black
408,270,Black
409,270,Silver
410,270,
411,270,Silver
412,270,Silver
413,270,
414,270,
415,270,
416,270,
417,270,
418,270,
419,270,
420,270,
421,270,
422,270,
423,270,
424,270,
425,274,
426,274,
427,276,
428,276,
429,288,Blue
430,288,Red
431,288,Green
432,288,
433,288,
434,288,
435,288,
436,289,Black
437,289,
438,289,White
439,294,
440,294,
441,294,
442,294,
443,294,
444,294,
445,294,
446,294,
447,295,
448,295,
449,295,
450,297,
451,297,Brown
452,298,
453,298,
454,298,
455,298,
456,299,Black
457,299,Grey
458,299,White
459,299,Brown
460,299,
461,299,Red
462,299,
463,299,Orange
464,299,Yellow
465,299,Green
466,299,Blue
467,299,
468,299,Silver
469,299,
470,299,
471,299,
472,299,
473,299,
474,299,
475,299,
476,299,
477,301,White
478,301,Black
479,305,Green
480,305,Green
481,312,
482,312,
483,312,
484,312,
485,315,
486,315,
487,315,
488,315,
489,315,
490,315,
491,315,
492,316,
493,316,Brown
494,318,Blue
495,322,Gold
496,322,Silver
497,322,Black
498,322,Gold
499,322,Blue
500,322,Black
501,322,
502,322,
503,324,
504,324,
505,324,
506,325,Gold
507,325,Silver
508,325,
509,325,
510,325,
511,325,
512,325,
513,330,
514,330,
515,330,
516,330,
517,330,
518,330,
519,330,
520,330,
521,330,
522,330,
523,330,
524,330,
525,330,
526,335,
527,335,Blue
528,335,Green
529,335,Green
530,335,Grey
531,335,White
532,335,Grey
533,339,Blue
534,339,Orange
535,339,
536,339,White
537,339,Black
538,339,
539,339,
540,339,
541,339,
542,349,White
543,349,
544,351,
545,351,
546,351,
547,351,
548,357,Blue
549,357,
550,357,Red
551,357,Red
552,357,White
553,357,Black
554,357,
555,357,
556,361,
557,361,
558,361,
559,361,
560,367,
561,367,
562,367,
563,368,
564,368,
565,368,
566,368,
567,368,
568,368,
569,368,
570,370,
571,370,
572,370,
573,370,
574,379,
575,379,
576,379,
577,379,
578,379,
579,379,
580,379,
581,379,
582,379,
583,379,
584,379,
585,379,
586,379,
587,379,
588,380,
589,380,
590,380,
591,385,
592,385,
593,393,
594,393,
595,393,
596,393,
597,394,
598,394,
599,394,
600,395,
601,395,
602,395,
603,395,
604,396,Blue
605,396,Grey
606,396,White
607,396,Blue
608,396,Black
609,396,Black
610,396,
611,396,
612,396,
613,398,Black
614,398,
615,398,Black
616,398,Grey
617,398,
618,398,Black
619,398,
620,398,
621,400,
622,400,Black
623,400,
624,400,
625,400,
626,400,
627,402,
628,402,Silver
629,402,Yellow
630,402,Blue
631,402,
632,402,
633,406,
634,406,
635,406,
636,410,
637,410,Bronze
638,410,
639,410,
